;METRO;;;;;;;;
;;;;;;;;;
;SERVICIOS;;;;;;;;
;_Venta de Tarjetas;;;;;;;;
;_Carga de Tarjetas;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
CODIGO;ENTIDAD;NOMBRE FANTASIA;DIRECCION;COMUNA;HORARIO REFERENCIAL;ESTE;NORTE;LONGITUD;LATITUD
L1;METRO;MANQUEHUE;Avda. Apoquindo Frente al N° 5875;Las Condes;"Lunes a Viernes: 6:00 a 23:00 horas
Sábados: 6:30 a 22:30 horas
Domingos y festivos: 8:00 a 22:30 horas. ";354185;6302268;-70,56812562;-33,4090259
L1;METRO;ESCUELA MILITAR;Avda. Apoquindo Frente al Nº 4502;Las Condes;"Lunes a Viernes: 6:00 a 23:00 horas
Sábados: 6:30 a 22:30 horas
Domingos y festivos: 8:00 a 22:30 horas. ";352658;6301661;-70,5846369;-33,41429088
L1;METRO;HERNANDO DE MAGALLANES;Avda. Apoquindo N° 7095;Las Condes;"Lunes a Viernes: 6:00 a 23:00 horas
Sábados: 6:30 a 22:30 horas
Domingos y festivos: 8:00 a 22:30 horas. ";355348;6302399;-70,55559909;-33,4080066
L1;METRO;LOS DOMINICOS;Avda. Apoquindo N° 8613;Las Condes;"Lunes a Viernes: 6:00 a 23:00 horas
Sábados: 6:30 a 22:30 horas
Domingos y festivos: 8:00 a 22:30 horas. ";356326;6302425;-70,5450801;-33,4078964
L4;METRO;PLAZA PUENTE ALTO;Avda. Concha y Toro 265;Puente Alto;"Lunes a Viernes: 6:00 a 23:00 horas
Sábados: 6:30 a 22:30 horas
Domingos y festivos: 8:00 a 22:30 horas. ";353814;6279921;-70,57575465;-33,61046273
L4;METRO;LAS MERCEDES;Avda. Concha y Toro Nº 1099;Puente Alto;"Lunes a Viernes: 6:00 a 23:00 horas
Sábados: 6:30 a 22:30 horas
Domingos y festivos: 8:00 a 22:30 horas. ";353627;6280999;-70,57759514;-33,60072058
L4;METRO;SOTERO DEL RIO;Avda. Concha y Toro Nº 3458;Puente Alto;"Lunes a Viernes: 6:00 a 23:00 horas
Sábados: 6:30 a 22:30 horas
Domingos y festivos: 8:00 a 22:30 horas. ";353162;6283611;-70,58217591;-33,57710174
L4;METRO;ELISA CORREA;Avda. Concha y Toro Nº 3999;Puente Alto;"Lunes a Viernes: 6:00 a 23:00 horas
Sábados: 6:30 a 22:30 horas
Domingos y festivos: 8:00 a 22:30 horas. ";353004;6284456;-70,5837448;-33,56946535
L5;METRO;PEDRERO;Avda. Departamental Nº 1901;Macul;"Lunes a Viernes: 6:00 a 23:00 horas
Sábados: 6:30 a 22:30 horas
Domingos y festivos: 8:00 a 22:30 horas. ";350235;6291225;-70,61242684;-33,50804733
L2;METRO;EINSTEIN;Avda. Einstein Nº 601;Recoleta;"Lunes a Viernes: 6:00 a 23:00 horas
Sábados: 6:30 a 22:30 horas
Domingos y festivos: 8:00 a 22:30 horas. ";347201;6302443;-70,64317829;-33,40647739
L1;METRO;PAJARITOS;Avda. General Bonilla Nº 5900;Lo Prado;"Lunes a Viernes: 5:40 a 23:00 horas
Sábados: 6:30 a 22:30 horas
Domingos y festivos: 8:00 a 22:30 horas. ";340527;6296685;-70,71593663;-33,45741718
L5;METRO;BARRANCAS;Avda. Gral. Bonilla N° 8220;Pudahuel;"Lunes a Viernes: 6:00 a 23:00 horas
Sábados: 6:30 a 22:30 horas
Domingos y festivos: 8:00 a 22:30 horas. ";338375;6297140;-70,73900243;-33,45299778
L4;METRO;GRECIA;Avda. Grecia Nº 5280;Ñuñoa;"Lunes a Viernes: 6:00 a 23:00 horas
Sábados: 6:30 a 22:30 horas
Domingos y festivos: 8:00 a 22:30 horas. ";353509;6295537;-70,57649201;-33,46961865
L5;METRO;LAGUNA SUR;Avda. Laguna Sur N° 7297;Pudahuel;"Lunes a Viernes: 6:00 a 23:00 horas
Sábados: 6:30 a 22:30 horas
Domingos y festivos: 8:00 a 22:30 horas. ";338505;6296046;-70,73779937;-33,462878
L1;METRO;ESTACION CENTRAL;Avda. Libertador Bernardo O`Higgins Frente al Nº 3322;Estación Central;"Lunes a Viernes: 5:40 a 23:00 horas
Sábados: 6:30 a 22:30 horas
Domingos y festivos: 8:00 a 22:30 horas. ";343935;6297466;-70,6791488;-33,45087477
L1;METRO;UNIVERSIDAD DE SANTIAGO;Avda. Libertador Bernardo O`Higgins Frente al Nº 3702;Estación Central;"Lunes a Viernes: 5:40 a 23:00 horas
Sábados: 6:30 a 22:30 horas
Domingos y festivos: 8:00 a 22:30 horas. ";343267;6297239;-70,6863706;-33,45283211
L1;METRO;SALVADOR;Providencia Nº 700;Providencia;"Lunes a Viernes: 6:00 a 23:00 horas
Sábados: 6:30 a 22:30 horas
Domingos y festivos: 8:00 a 22:30 horas. ";345055;6297836;-70,66703694;-33,44770483
