Regi—n;2008;2009;2010;2011;2012;2013;2014
Arica y Parinacota;1;0;1;0;0;0;0
Tarapaca;0;1;0;0;1;0;0
Antofagasta;4;1;3;1;1;0;1
Atacama;0;1;0;1;0;2;0
Coquimbo;4;1;3;1;2;1;0
Valparaiso;2;5;3;4;5;3;2
Metropolitana;19;19;15;16;8;18;19
O'Higgins;5;2;1;0;1;1;1
Maule;8;4;1;4;4;4;3
Bio Bio;3;10;6;4;4;3;7
Araucania;3;3;4;4;2;3;1
Los Lagos;5;2;7;3;3;3;3
Los Rios;0;3;3;0;1;0;2
Aysen;1;2;2;0;2;1;0
Magallanes;0;1;0;2;0;1;1
